Comments ,Label
আমার এরকম একই ঘটনা ঘটে। আমি এক সংখ্যা ভুল করে ৫০০০ টাকা পাঠাই। পরে ওই নাম্বারে কল করলে বন্ধ পাই। পরে বিকাশের লাইভ চেটে কথা বলি এবং ৫মিনিট পরেই ফেরত পাই।,Partial Fraud
আমাকে লটারির কথা বলে ৫০০০ টাকা নিয়া গেছে,Fraud
আমাকেও কল দিছিলো বলে যে গভর্মেন্ট সব বিকাশ ইউসারকে,Partial Fraud
"আমার কালকে ৩০০০ হাজার টাকা নিয়া নিছে, বুঝতে পারিনি, যখন বুঝতে পারলাম কিছু করার ছিল না তখন,আমার খুব খারাপ লাগতেছে",Partial Fraud
ভাই আমার নগদ একাউন্টে থেকে গতকাল ১৮৩৬০ টাকা নিয়া গেছে,Fraud
ভাইয়া আমার থেকে কালকে পতারনা করে ৫০০০ টাকা নিয়ে গেছে এখন কি করে আনবো,Fraud
ভাই আমার ফোন থেকে ৩০০০ টাকা নিয়ে গেছে একটা ফোন নাম্বার দিয়ে এস এম এস করে নিয়ে গেছে এখন কি উপায় আছে ভাই,Partial Fraud
আমি একজন স্টুডেন্ড....একটু আগে আমার ৩০০০ নিয়ে গেছে....আমার করণীয় কি....???আমার পিন বা কোন ওটিপি কেউ নেয় নি....তহলে কেমনে কি....আমি কিছুই বুঝতে পাড়ছি না......কি করবো,Partial Fraud
আমার ২০৪০৫০হেক করে নিয়েছে এখন আমি কিবাবে টাকাটা পাব বলতে পারবে,Fraud
আমার বিকাশ থেকে তিন হাজার টাকা নিয়ে যায়,Fraud
আমার কাছ থেকে 15 হাজার টাকা নিছে,Fraud
আমার কাছ থেকে ৪৪০০০ টাকা নিয়ে গেছে। কেউ কোন হেল্প করতে পারবেন!!!,Partial Fraud
ভাই গতকাল আমার কাছ থেকে সরকারি অনুদান এর কথা বলে ১৬৭০০ টাকা নিয়ে গেছে আমার একাউন্ট হ্যাক করে আমার কাছে otp r pinচাইছে আমিও বলে দিছিআমার বৃত্তির টাকা গুলোএত দিনের জমানো টাকা এক্ষেএে আমার করণীয় কি বলবেন দয়া করেআমি আর পারতাছি না আল্লার ওয়াস্তে বলবেন করণীয়... দয়া করে,Fraud
ভাই আমার ১০০০০টাকা নিয়েছে কি করবো,Partial Fraud
"ভাই প্লিজ আমাকে একটু সাহায্য করেন,,,আমি আমার বাবার নাম্বারে বিকাশে ৬৩ হাজার টাকা পাইছি কে যেন হ্যাক করে ৫০ হাজার টাকা তুলে নিছে কিভাবে আমিি ফেরত পাবো প্লিজ জানাবেন???",Partial Fraud
আমার কাল ২০০০০ টাকা নিয়ে গেছে,Fraud
ভাই বিকাশ এজেন্ট সেজে প্রতারক আমর কাছ থেকে 40000 টাকা নিয়ে গেছে এখন কি করবো?,Partial Fraud
ভাই আমি কাল রাতে ২৩৫০০ পতারক হয়চি এখন আমি কি করবো বা আপনি একটু সাহায্য করতে তাহলে আমি খুব উপকার আছে আমি প্রবাসে আছি,Partial Fraud
আমার 4000টাকা নিয়ে গেছে শুক্রবার,Fraud
আজ আমার একাউন্ট ব্লক হয়ে গেছে। তারপর একটা নম্বর দিছে বলছে যে আপনার পিন আর ওই নাম্বর যোগ করে যা হবে আমাকে বলেন। তারপর বলছে। এজেন্ট এর ঘর ১৮৫০০ টাকা আমার একাউন্ট এ আনতে।এজেন্ট পিন দিবে টাকা আসবে না একাউন্ট টিক হয়ে যাবে।ওর কথা মত কাজ করছি।তারপর ও আমার টাকা টা নিয়ে গেছে।,Fraud
"ভাই আজ আমার 30,000 টাকা নিয়ে গেছে কি করব ??",Partial Fraud
ভাই আমার বোনের টাকা নিয়ে গেছে বিকাশ হ্যাকার তো আমি কিভাবে আনবো,Partial Fraud
"ভাইয়া আমার একাউন্ট থেকে ৬,১০০ টাকা নিয়ে নিয়েছে প্রতারক,, এখন আমার কি করণীয়?",Fraud
"ভাই আমার একবন্ধু আমার বিকাশ দিয়ে একজনের টাকা মেরে দিয়েছে,,,এখন বিকাশ হেল্প সার্ভিসে গেলে কি আমার কোনো সমস্যা হবে,, দয়া করে জানান",Partial Fraud
"আমার ১৫,০০০ নিয়ে গেল আজকে সুইসাইড করলেও আমার জন্য কম হবে",Fraud
বিকাশের লোক প্রতারনার সাথে জড়িত থাকে,Partial Fraud
ভাই রাত ৯ টার সময় বিকাশ থেকে টাকা চুরি হয়েছে,Partial Fraud
আমার থেকে 13 আগস্ট 10500 টাকা নিয়ে গেছে খুব কষ্ট পেয়েছি,Fraud
এরা সঠিকভাবে সার্ভিসিং দিতে পারছেন না আমার মনে হচ্ছে,Partial Fraud
"ভাইয়া প্রতারিত হইছে,,আমার একটা ভাবির ফোন থেকে",Partial Fraud
আমার নগদ একাউন্ট হ্যাক করে 29580টাকা নিয়ে গেছে,Fraud
আমি একজন কে টাকা পাঠাইছি লেনদেনে Time ও আছে যে দিছি কিন্তু এখন টাকা যায় নায়,Partial Fraud
আমার ভাইয়ার একাউন্ট থেকে ২৭হাজার টাকা নিয়ে গেছে।,Fraud
আমার 5000টাকা নিয়ে গেছে,Fraud
প্রতারনার স্বীকার হয়েছি 32000 টাকা,Fraud
আমার বিকাশ থেকে টাকা সেন্ট মানি করে নিয়ে নিছে,Partial Fraud
বাই আমার কাছে টাকা নিয়ে গেছে ১০০০০ হাজার টাকা,Fraud
"আমার মোবাইলে মেসেজ আসছে ৯০টাকা পেয়েছেন চেক করেন, আমি চেক করেছি এখন কি হেক হয়ে যাবে।",Partial Fraud
বিকাশের এমন ধোকায় পড়ে আমাকেও দিতে হলো ৯২০০ টাকা ,Fraud
আমি ৬ টা কোড আইছে আমি ৪টা দিছি পরে কোনো সমস্যা হবে,Partial Fraud
ভাইয়া আমার ও এই উপবিত্তির কথা বলে ওটিপি কোড সব দিয়ে দিছি আবার কেলকুলেটর দিয়ে সব এইভাবে নিয়ে নিছে ,Fraud
ভাইয়া আমার সিম হারিয়ে গেছে বিকাশে টাকা আছে,Partial Fraud
"ঠিক আমার ও একরকম হইচে,কি করব,ভাবতে পারচি নাহ",Partial Fraud
আমার ৬৩০০ টাকা হ্যাক হয়ে গেছে,Fraud
মার সাথে  এরকম হয়েছে আমার  22048 টাকা নিয়ে নেছে  এখন আমার বিকাশে আমি প্রবেশ করতে পারিনা,Fraud
ভাই আমার কাছ থেকে 500টাকা নিয়ে গেছে,Fraud
ভাই আমার কাছ থেকে 1300 টাকা নিয়ে গেছে,Fraud
আমার সাতে হয়েছে বাট টাকা নিতে পারে নাই,Partial Fraud
আমার  কাছ থেকে 6000  টাকা কেটে নেছে,Fraud
ভাইয়া আমার মোবাইলে ও আসছে এটা আরেক কথা আমার মোবাইল পিন পরিবর্তন ও হচ্ছে না কি করা যায়,Partial Fraud
ভাই আমার নগদের পিন হ্যাক করছে এই ভাবে পরে আমি পিন চেন্জ করছি,Partial Fraud
ভাইয়া বিকাশ প্রতারক আমাকেও ফোন দিয়েছিলো কিন্তু আমি ভুল করে শুধু ভেরিফিকেশন কোড দিয়েছি পরে বুঝতে পেরেছি,Fraud
আমি তো হ্যাকারদের পিন নামবার দেই নি। শুধু ৪ ডিজিটের নামবার বলেছি,Partial Fraud
আমি ভেরিফেকশন ৬ সংখ্যা কোড দিছি আর কিছু  দিই নাই,Fraud
আমি ৮ হাজার টাকা এমনে হারাইছি,Fraud
প্রতারকের খপ্পরে পড়ে আজ আমার ১৪৫০০ টাকা নাই,Fraud
